step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
2180,1.23542948e-02,2.88578193e-03,2.33585328e-01,4.40595210e-01,10190,1.45120382e+00,1.19870710e+00
2190,1.11449379e-02,3.20143718e-03,2.87254810e-01,4.58996773e-01,10298,1.53174508e+00,1.29046857e+00
2200,1.19732693e-02,3.11153685e-03,2.59873629e-01,4.59591269e-01,9555,1.48384118e+00,1.25198603e+00
2210,1.22082056e-02,3.19499965e-03,2.61709183e-01,4.49039698e-01,9385,1.51643431e+00,1.24325669e+00
2220,1.12680858e-02,3.03713395e-03,2.69534141e-01,4.39300358e-01,10071,1.38943338e+00,1.25054872e+00
2230,1.15398662e-02,3.09923431e-03,2.68567622e-01,4.57417190e-01,10239,1.54666698e+00,1.25109494e+00
2240,1.22343721e-02,3.02323024e-03,2.47109547e-01,4.48088914e-01,9977,1.46328974e+00,1.21026683e+00
2250,1.22715719e-02,3.44276149e-03,2.80547708e-01,4.48114991e-01,8730,1.52710795e+00,1.26750743e+00
2260,1.24190869e-02,3.17125604e-03,2.55353391e-01,4.41034317e-01,9067,1.47159970e+00,1.24859262e+00
2270,1.29726501e-02,2.80412729e-03,2.16156855e-01,4.43676412e-01,11476,1.60121608e+00,1.19074035e+00
2280,1.16840359e-02,3.01729096e-03,2.58240461e-01,4.27574456e-01,10465,1.47479391e+00,1.25699735e+00
2290,1.23271281e-02,3.06680379e-03,2.48784944e-01,4.51425582e-01,9682,1.50678229e+00,1.22630382e+00
2300,1.19838566e-02,3.11576575e-03,2.59996921e-01,4.47070360e-01,10321,1.57432663e+00,1.25882030e+00
