step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
1240,1.23126749e-02,3.38436407e-03,2.74868309e-01,4.26086605e-01,7102,1.38941097e+00,1.26232147e+00
1250,1.69520527e-02,4.66763321e-03,2.75343239e-01,4.12104607e-01,4405,1.47549307e+00,1.31278121e+00
1260,1.21471034e-02,3.76591738e-03,3.10025960e-01,4.30609971e-01,6271,1.31695056e+00,1.28542352e+00
1270,1.24958539e-02,3.71902739e-03,2.97620893e-01,4.51132804e-01,5670,1.27856541e+00,1.23825562e+00
1280,1.54885175e-02,3.80080985e-03,2.45395333e-01,4.07980263e-01,5806,1.44785893e+00,1.25540173e+00
1290,1.21279033e-02,3.63935879e-03,3.00081462e-01,4.40030426e-01,7241,1.44297373e+00,1.31361771e+00
1300,1.43927000e-02,3.50662204e-03,2.43638933e-01,4.24861431e-01,6133,1.30839288e+00,1.21144772e+00
1310,1.34678073e-02,3.38717643e-03,2.51501709e-01,4.23646450e-01,7259,1.42970955e+00,1.23125815e+00
1320,1.41006652e-02,3.47020733e-03,2.46102378e-01,4.38712716e-01,6527,1.37620401e+00,1.20527887e+00
1330,1.58487391e-02,3.86250415e-03,2.43710503e-01,4.28987503e-01,5160,1.34992158e+00,1.22261691e+00
1340,1.35368006e-02,3.76902684e-03,2.78428197e-01,4.30373818e-01,5783,1.31493139e+00,1.27115226e+00
1350,1.23881372e-02,3.28843156e-03,2.65450031e-01,4.20787424e-01,7570,1.31473351e+00,1.23024476e+00
1360,1.38667244e-02,3.22138215e-03,2.32310250e-01,4.17113692e-01,7860,1.39825642e+00,1.21773982e+00
1370,1.35238571e-02,3.29386047e-03,2.43559241e-01,4.16591227e-01,7586,1.43352795e+00,1.22480440e+00
1380,1.25047937e-02,3.37027106e-03,2.69518316e-01,4.37355667e-01,7711,1.39582515e+00,1.24984789e+00
1390,1.43209267e-02,3.65653564e-03,2.55328149e-01,4.06911224e-01,6336,1.38003409e+00,1.26307356e+00
